maiorAtraso,margemBrutaAcumulada,titulosEmAberto,valorSolicitado,totalAtivo,faturamentoBruto,capitalSocial,RiscoMuitoBaixo,RiscoMedio,RiscoAlto,Restricoes_Bin,MEEPPMEI,EMP_5_ANOS,EMP_10_ANOS,EMP_16_ANOS,EMP_17_ANOS_MAIS,cluster
4,0.4654716821,5056.0,80000,15282206.0,21770010.0,700000.0,1,0,0,0,0,0,0,1,0,2
0,0.5936960526,7600.0,80000,3144252.0,3084897.0,105000.0,0,0,0,0,1,1,0,0,0,0
51,0.5226922849,0.0,30000,2384534.0,15197301.0,400000.0,0,1,0,0,1,0,1,0,0,3
24,0.2913565909,0.0,20000,1049740.0,1073042.0,200000.0,0,0,0,0,0,0,1,0,0,3
4,0.4348023596,20838.54,100000,2444687.0,1968864.0,40000.0,1,0,0,0,0,0,1,0,0,3
9,0.6533681481,513580.14,1100000,22560504.0,58858056.0,99800.0,0,0,0,0,1,1,0,0,0,0
0,0.2818898131,0.0,50000,3254179.0,8008849.0,25000.0,0,0,0,0,0,1,0,0,0,0
36,0.5048304899,95983.74,150000,922394.0,3320956.0,50000.0,0,0,0,0,1,0,1,0,0,3
222,0.4421322865,47536.81,150000,3098597.0,18144248.0,300000.0,0,0,0,0,1,0,0,0,1,1
4,0.5552716108,0.0,10000,0.0,1121995.0,30000.0,0,0,0,0,0,0,1,0,0,3
15,0.4355018759,81923.75,400000,37079687.0,41281527.0,50000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,30000,0.0,1802595.0,4000.0,0,0,0,0,1,0,0,0,1,1
4,0.4673365729,351900.0,530000,18978032.0,18412572.0,200000.0,0,0,0,0,1,0,0,1,0,2
3,0.4186828305,3591.24,40000,0.0,3101081.0,60000.0,0,0,0,0,0,0,0,0,1,1
0,0.47884085,1826.66,20000,67794514.0,106792028.0,26434925.0,1,0,0,0,0,0,0,1,0,2
0,0.0198609391,0.0,50000,0.0,3656570.0,50000.0,0,0,0,0,0,1,0,0,0,0
0,0.5250487728,123333.34,800000,6584298.0,15287388.0,100000.0,0,0,0,0,1,1,0,0,0,0
8,0.3448509175,11099.16,60000,7625926.0,11239476.0,500000.0,1,0,0,0,0,0,0,1,0,2
3,0.5744163104,2736.9,30000,548324.0,2056115.0,150000.0,0,0,0,0,0,0,0,0,1,1
3,0.4297211727,0.0,15000,272288.0,545680.0,100000.0,0,1,0,0,1,1,0,0,0,0
14,0.5650457739,118195.87,600000,56028277.0,120776175.0,3000000.0,0,0,0,0,0,0,0,0,1,1
13,0.4471301007,0.0,15000,779588.0,2231437.0,300000.0,0,0,0,0,0,1,0,0,0,0
93,0.2642301328,205885.6,500000,31049000.0,71143000.0,8000000.0,0,0,0,0,0,0,0,0,1,1
20,0.2964319012,0.0,100000,6923921.0,6257609.0,100000.0,0,1,0,0,1,1,0,0,0,0
46,0.4189205617,0.0,30000,0.0,12463600.0,90000.0,0,0,0,0,1,0,0,1,0,2
0,0.4679269506,0.0,150000,0.0,2584484.0,99800.0,0,0,0,0,1,0,0,1,0,2
105,0.2730283729,2040.0,30000,7172311.0,4527198.0,500000.0,0,1,0,0,1,0,0,1,0,2
2,0.4763216708,0.0,30000,0.0,402299.0,300000.0,0,0,0,0,1,0,0,0,1,1
14,0.0,0.0,51000,0.0,4643246.0,130000.0,0,0,0,0,0,0,0,0,1,1
57,0.3158088191,0.0,120000,0.0,575714000.0,0.0,0,1,0,1,0,1,0,0,0,0
16,0.3855951958,0.0,200000,21358202.0,49845052.0,200000.0,0,0,0,0,1,0,0,0,1,1
3,0.4389350443,42879.29,170000,30795864.0,73827926.0,100000.0,1,0,0,0,0,0,0,0,1,1
0,0.6086769841,0.0,50000,0.0,0.0,50000.0,0,1,0,0,0,1,0,0,0,0
5,0.6075732943,0.0,100000,77061830.0,26177587.0,4770000.0,0,0,0,0,0,0,0,0,1,1
6,0.0,0.0,700000,12787643.0,21318374.0,2474545.0,0,0,0,0,0,0,0,0,1,1
5,0.6357338888,0.0,25000,191640405.0,155916155.0,127256221.0,1,0,0,0,0,0,0,0,1,1
0,0.677803913,0.0,20000,2619697.0,1683505.0,95400.0,0,0,0,1,1,0,1,0,0,3
12,0.2690592993,0.0,53000,0.0,16664217.0,13000.0,0,0,0,0,0,0,0,0,1,1
0,0.4604355181,0.0,40000,951180.0,596589.0,100000.0,0,1,0,0,1,1,0,0,0,0
0,0.4682240708,0.0,60000,4304179.0,3461194.0,1000000.0,0,0,0,0,1,0,0,1,0,2
0,0.3913870529,0.0,10000,0.0,710226.0,99800.0,0,1,0,0,1,1,0,0,0,0
3,0.0,0.0,70000,2159372.0,5531629.0,120000.0,1,0,0,0,0,0,0,1,0,2
28,0.0,0.0,50000,0.0,518938.0,93700.0,0,1,0,0,0,1,0,0,0,0
26,0.0,0.0,50000,1243240.0,1753675.0,300000.0,0,0,0,0,0,0,1,0,0,3
16,0.2548028184,0.0,300000,34052578.0,44652485.0,2650000.0,1,0,0,0,0,0,0,0,1,1
6,0.0,0.0,50000,522183.0,879294.0,10000.0,0,0,0,0,0,1,0,0,0,0
27,0.5185961055,8534.0,50000,847743.0,1880088.0,120000.0,0,0,0,0,1,0,1,0,0,3
4,0.4794692175,54535.26,100000,551493.0,1853472.0,10000.0,1,0,0,0,0,0,0,0,1,1
17,0.0,0.0,245000,3355067.0,7005281.0,70000.0,0,0,0,0,0,0,0,0,1,1
2,0.4564914189,8258.23,15000,0.0,620306.0,200000.0,0,1,0,0,0,1,0,0,0,0
6,0.439507916,766932.13,1200000,43886722.0,21708396.0,1000000.0,0,0,0,1,0,0,0,0,1,1
2,0.3962071284,19800.0,260000,3167476.0,3958311.0,600000.0,0,1,0,1,0,0,0,0,1,1
3,0.525889638,0.0,40000,4158788.0,2254613.0,1300000.0,0,0,0,0,1,0,1,0,0,3
8,0.3539798522,0.0,50000,35070822.0,43917342.0,18022391.0,1,0,0,0,0,0,1,0,0,3
0,0.4413395729,0.0,20000,465610.0,1154101.0,95400.0,0,1,0,0,1,1,0,0,0,0
0,0.7405615079,0.0,20000,0.0,332118.0,30000.0,0,0,0,0,0,1,0,0,0,0
0,0.0,0.0,100000,874386.0,2587369.0,100000.0,0,0,0,0,1,0,0,1,0,2
5,0.2815035093,0.0,10000,0.0,1951721.0,88000.0,0,0,0,0,1,1,0,0,0,0
0,0.3945491657,0.0,30000,0.0,1915422.0,96000.0,0,0,0,0,1,1,0,0,0,0
4,0.5893335986,0.0,35000,674995.0,1535565.0,40000.0,0,0,0,0,1,1,0,0,0,0
59,0.0802976033,0.0,35000,6306559.0,7969110.0,3800000.0,0,0,0,1,0,0,0,0,1,1
0,0.3985615944,5861.75,40000,0.0,24326436.0,10000.0,0,0,0,0,0,0,1,0,0,3
0,0.2439283333,18000.0,30000,7540463.0,4944974.0,300000.0,0,0,0,0,0,1,0,0,0,0
5,0.3371591694,27978.28,50000,0.0,1522364.0,500000.0,0,0,0,0,0,0,0,1,0,2
0,0.0,0.0,50000,3909019.0,4987640.0,50000.0,0,0,0,0,1,0,0,1,0,2
0,0.0,0.0,100000,598319.0,622321.0,0.0,0,0,0,0,0,1,0,0,0,0
14,0.5309746706,0.0,750000,1708498000.0,1778599000.0,1400000.0,0,0,0,0,0,1,0,0,0,0
4,0.5446530761,31966.66,120000,675439.0,23954685.0,30000.0,0,0,0,0,1,0,0,1,0,2
0,0.0,0.0,250000,26573977.0,37979303.0,1000000.0,1,0,0,0,0,0,0,0,1,1
11,0.4240991321,559679.98,1100000,209372451.0,253471598.0,1500000.0,0,1,0,0,0,0,0,1,0,2
5,0.2313322928,0.0,50000,3034453.0,2943404.0,230000.0,0,0,0,0,1,0,1,0,0,3
3,0.4871002632,0.0,50000,0.0,2881172.0,100000.0,0,0,0,0,0,0,1,0,0,3
51,0.5954292225,0.0,200000,186101629.0,129438771.0,6000000.0,0,0,0,1,0,0,0,0,1,1
3,0.4308813952,9700.0,30000,0.0,1304451.0,10000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,600000,11949913.0,5262427.0,400000.0,0,1,0,0,1,1,0,0,0,0
6,0.5535910457,0.0,50000,1130052.0,330703.0,50000.0,0,0,1,0,0,1,0,0,0,0
17,0.3947425017,771227.83,3000000,43189402.0,52035308.0,10000000.0,1,0,0,0,0,0,0,1,0,2
4,0.4194241837,45105.8,300000,51111196.0,82056177.0,3000000.0,1,0,0,0,0,0,0,0,1,1
0,0.5012166693,0.0,145000,14369543.0,61923384.0,6900.0,1,0,0,0,0,0,0,0,1,1
14,0.4689029531,0.0,40000,3624456.0,1428476.0,120000.0,0,1,0,0,1,0,1,0,0,3
234,0.3700948127,564565.41,2500000,45047845.0,103305665.0,2000000.0,1,0,0,0,0,0,0,0,1,1
27,0.3152892457,8841.6,50000,0.0,1800000.0,100000.0,0,0,0,0,0,0,0,1,0,2
9,0.4325313281,0.0,20000,7205370.0,0.0,30000.0,0,1,0,0,0,0,0,1,0,2
0,0.0,0.0,70000,7221378.0,38547815.0,88000.0,1,0,0,0,0,0,0,0,1,1
8,0.3623201418,50790.0,1000200,25063647.0,49147996.0,500000.0,1,0,0,0,0,0,0,0,1,1
5,0.5630928823,55199.84,724000,27186328.0,29081201.0,20000000.0,0,0,0,0,0,1,0,0,0,0
69,0.3554639432,32824.72,150000,29567334.0,104922327.0,150000.0,0,0,0,0,0,0,0,1,0,2
0,0.6834396835,0.0,40000,1146902.0,12811010.0,100000.0,0,0,0,0,1,0,1,0,0,3
17,0.3973340361,13081.5,150000,5267364.0,4348123.0,200000.0,1,0,0,0,0,0,0,0,1,1
4,0.4481176357,15600.0,30000,0.0,1241128.0,20000.0,0,1,0,0,0,1,0,0,0,0
7,0.2304012589,10159.98,25000,1346889.0,1882967.0,90000.0,1,0,0,0,0,0,0,0,1,1
3,0.4792305167,0.0,40000,549211.0,2001493.0,30000.0,1,0,0,0,0,0,0,0,1,1
4,0.2438213757,0.0,250000,374519.0,502481.0,0.0,0,1,0,0,1,0,0,1,0,2
3,0.4804133701,0.0,40000,5108291.0,3513976.0,100000.0,0,0,0,0,1,0,1,0,0,3
6,0.0,0.0,65000,5392990.0,15418736.0,30000.0,0,0,0,0,0,0,1,0,0,3
0,0.0,0.0,100000,380751588.0,108473744.0,236394404.0,0,0,0,1,0,0,0,1,0,2
4,0.0992073268,0.0,50000,1428204.0,1428301.0,30000.0,0,0,0,0,0,0,0,1,0,2
3,0.4763912326,0.0,100000,0.0,1336733.0,104500.0,0,1,0,0,1,1,0,0,0,0
0,0.5694390722,0.0,200000,449974.0,560233.0,640326.0,0,0,0,0,0,1,0,0,0,0
16,0.4701973788,985.0,10000,172097.0,581717.0,99800.0,0,1,0,0,0,1,0,0,0,0
33,0.2816932593,14680.0,120000,3273708.0,8822886.0,100000.0,0,0,0,0,0,0,0,0,1,1
29,0.6508275983,28480.0,40000,0.0,10065702.0,200000.0,0,0,0,0,0,0,1,0,0,3
11,0.3468349625,3428.52,50000,0.0,1996140.0,300000.0,0,0,0,0,0,0,1,0,0,3
2,0.3582090904,0.0,30000,0.0,1062371.0,80000.0,0,0,0,0,0,0,0,0,1,1
0,0.3267867192,0.0,50000,25271059.0,47027090.0,50000.0,1,0,0,0,0,0,0,1,0,2
0,0.0,0.0,2000000,96065789.0,128032382.0,24890730.0,0,0,0,1,0,0,0,0,1,1
57,0.3912469026,100246.8,300000,39062454.0,34142426.0,18577712.0,1,0,0,0,0,0,0,0,1,1
0,0.2440690691,0.0,40000,540934.0,1449723.0,100000.0,0,0,0,0,0,1,0,0,0,0
3,0.5670463654,237018.0,420000,10846806.0,19684339.0,380000.0,0,0,0,0,1,0,0,0,1,1
20,0.4540878993,1486.95,200000,26797750.0,54785562.0,75000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,20000,14478824.0,13302264.0,500000.0,0,0,0,1,0,0,0,1,0,2
5,0.3304706163,11666.67,75000,3212734.0,8701209.0,80000.0,1,0,0,0,0,0,1,0,0,3
14,0.5072649903,0.0,100000,9237613.0,4453898.0,540000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,50000,89417898.0,10487653.0,87000000.0,0,0,0,0,0,1,0,0,0,0
3,0.3839191917,2933.38,100000,2874103.0,7204448.0,200000.0,0,0,0,0,0,1,0,0,0,0
0,0.6409928668,0.0,20000,139868064.0,106721744.0,6500000.0,1,0,0,0,0,0,0,0,1,1
2,0.5611568544,29400.0,250000,0.0,3700951.0,1000.0,0,0,0,0,1,1,0,0,0,0
111,0.306717889,0.0,80000,1553234.0,3690674.0,100000.0,0,0,0,0,0,0,0,0,1,1
20,0.6271428278,0.0,50000,504189.0,1099843.0,15000.0,0,0,0,0,0,0,1,0,0,3
4,0.0,0.0,1100000,38658260.0,72842747.0,1500000.0,0,0,0,0,0,1,0,0,0,0
60,0.539325775,3185.84,100000,15576794.0,56221961.0,1000000.0,0,0,0,0,0,0,0,0,1,1
4,0.3650411762,13640.01,50000,1486000.0,4609943.0,90000.0,1,0,0,0,0,0,0,0,1,1
0,0.4795967718,1323.32,200000,6825964.0,5210243.0,200000.0,0,0,0,0,1,1,0,0,0,0
2,0.4182682248,0.0,50000,4554649.0,3337017.0,50000.0,1,0,0,0,0,0,1,0,0,3
8,0.4523612213,767078.27,1000000,20811945.0,33286596.0,260000.0,1,0,0,0,0,0,0,0,1,1
0,0.0,0.0,30000,1410999.0,7118631.0,300000.0,0,0,0,0,0,1,0,0,0,0
4,0.5926673774,0.0,120000,102284.0,235315.0,93700.0,0,1,0,0,1,1,0,0,0,0
96,0.4852968167,1913477.53,2000000,33236491.0,73552802.0,3000000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,15000,2085408.0,3035326.0,88000.0,0,0,0,1,1,0,1,0,0,3
23,0.6370290539,5735.78,30000,0.0,60403911.0,20000.0,0,0,0,0,0,0,0,0,1,1
3,0.5796991248,0.0,84000,2008247.0,0.0,100000.0,0,0,0,0,0,1,0,0,0,0
0,0.6190623837,0.0,49999,0.0,9458433.0,500000.0,0,0,0,0,0,0,0,0,1,1
4,0.4799188531,42056.41,130000,2611330.0,4838146.0,100000.0,1,0,0,0,0,0,0,0,1,1
0,0.0,0.0,15000,1424040.0,2406486.0,104000.0,0,0,0,0,1,0,0,1,0,2
0,0.4956075859,1326.15,20000,20939538.0,31267812.0,8211007.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,20000,358591.0,0.0,4000.0,0,1,0,0,1,1,0,0,0,0
7,0.4453843288,0.0,40000,0.0,3294646.0,100000.0,0,0,0,0,1,0,0,1,0,2
5,0.3328928688,693.33,60000,1872895.0,1162680.0,95000.0,0,0,0,0,1,0,0,1,0,2
0,0.4316802789,5400.0,11000,3698215980.0,2171417618.0,900000000.0,1,0,0,0,0,0,0,0,1,1
7,0.2228348149,0.0,20000,0.0,925011533.0,0.0,0,1,0,0,0,1,0,0,0,0
54,0.5519362721,802200.0,280000,25208296.0,20109355.0,150000.0,0,0,0,0,0,0,1,0,0,3
0,0.0,0.0,5000,0.0,803930.0,80000.0,0,0,0,0,1,0,1,0,0,3
15,0.5458447443,0.0,15000,0.0,39147.0,60000.0,0,0,1,0,1,1,0,0,0,0
33,0.4637211329,0.0,10000,0.0,345100.0,50000.0,0,1,0,0,0,1,0,0,0,0
4,0.0,0.0,30000,307121.0,458448.0,40000.0,0,1,0,0,1,0,1,0,0,3
162,1.0,43858.95,60000,0.0,3493749.0,250000.0,0,0,0,0,0,1,0,0,0,0
0,0.6520525321,149248.96,150000,1589780.0,5785045.0,150000.0,0,0,0,0,1,0,0,0,1,1
5,0.5693130306,69516.42,150000,23814805.0,9042452.0,200000.0,0,0,0,0,1,0,0,0,1,1
7,0.4784275973,209794.37,1100000,26279924.0,10701729.0,1000000.0,1,0,0,0,0,0,1,0,0,3
6,0.5930708181,315.0,50000,0.0,1611494.0,250000.0,0,1,0,0,1,1,0,0,0,0
29,0.0,0.0,1000000,386929000.0,671575000.0,290536290.0,0,0,0,1,0,0,0,1,0,2
3,0.3533614354,0.0,80000,19062487.0,51990978.0,600000.0,0,0,0,0,0,1,0,0,0,0
0,0.6075844933,0.0,50000,0.0,2793597.0,20000.0,0,0,0,1,0,0,1,0,0,3
0,0.4251900346,0.0,40000,6777680.0,8695705.0,800000.0,0,0,0,0,1,1,0,0,0,0
6,0.3720908912,0.0,50000,19062487.0,51990978.0,600000.0,1,0,0,0,0,0,0,1,0,2
45,0.3770905815,790121.45,1500000,39000835.0,52924766.0,14380475.0,0,0,0,0,0,0,1,0,0,3
0,0.6699567901,0.0,50000,197360.0,939315.0,40000.0,1,0,0,0,0,0,1,0,0,3
0,0.7055214217,0.0,30000,0.0,29261683.0,0.0,0,0,0,0,0,0,1,0,0,3
3,0.4353922101,0.0,40000,0.0,1442677.0,10000.0,0,1,0,0,1,1,0,0,0,0
0,0.5389853138,0.0,15000,880550.0,453124.0,95400.0,0,1,0,0,1,1,0,0,0,0
3,0.5183337743,0.0,170000,25855472.0,26879039.0,4000000.0,1,0,0,0,0,0,0,0,1,1
6,0.525137205,0.0,15000,0.0,370758.0,50000.0,0,0,1,0,1,1,0,0,0,0
17,0.0,0.0,1300000,81199464.0,109615316.0,3000000.0,0,0,0,0,0,1,0,0,0,0
0,0.0,0.0,20000,0.0,1533371.0,100000.0,0,0,0,0,1,1,0,0,0,0
3,0.3700890405,0.0,50000,19467096.0,35373571.0,118000.0,0,0,0,0,0,1,0,0,0,0
22,0.0,0.0,60000,2398884.0,867918.0,1000000.0,0,1,0,1,0,0,0,0,1,1
0,0.5304287158,0.0,60000,15904174.0,9914981.0,648000.0,1,0,0,0,0,0,0,0,1,1
30,0.0,0.0,40000,1997761.0,7545846.0,100000.0,0,1,0,1,0,0,0,0,1,1
6,0.488280711,33764.0,160000,4895367.0,7575754.0,400000.0,0,0,0,0,0,0,0,0,1,1
0,0.2527583333,0.0,50000,211904.0,311244.0,50000.0,0,0,0,0,0,1,0,0,0,0
61,0.6088906349,640190.03,900000,2076423000.0,3369173000.0,330742994.0,0,0,0,1,0,0,1,0,0,3
0,0.0,0.0,20000,77061830.0,26177587.0,4770000.0,0,0,0,1,0,0,1,0,0,3
18,0.0,0.0,160000,3354775.0,6070436.0,100000.0,0,0,0,0,1,1,0,0,0,0
3,0.0,0.0,250000,114695964.0,214578169.0,28000.0,0,0,0,0,0,1,0,0,0,0
6,0.4361733765,1250.1,7000,0.0,0.0,100000.0,0,0,1,0,1,1,0,0,0,0
0,0.5909173222,18160.0,40000,14527651.0,50681347.0,700000.0,0,0,0,0,0,1,0,0,0,0
9,0.4788656395,113370.0,1100000,35490995.0,44276940.0,2897000.0,0,0,0,0,0,0,0,1,0,2
0,0.0,0.0,20000,4721894.0,4261465.0,50000.0,0,0,0,0,0,0,0,1,0,2
0,0.0,0.0,50000,1292546.0,3919267.0,100000.0,0,0,0,0,1,1,0,0,0,0
3,0.4436771274,154941.09,4000000,288401226.0,509862566.0,78600000.0,1,0,0,0,0,0,0,0,1,1
0,0.0,0.0,50000,0.0,25000000.0,171594529.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,100000,9477335.0,25619307.0,150000.0,0,0,0,0,1,1,0,0,0,0
3,0.3782052016,0.0,30000,0.0,1852776.0,30000.0,0,0,0,0,0,0,0,0,1,1
31,0.331470148,18315.98,300000,7810202.0,19873252.0,50000.0,1,0,0,0,0,0,1,0,0,3
4,0.2737072834,0.0,50000,505106.0,757693.0,200000.0,0,0,0,0,0,1,0,0,0,0
7,0.5596954651,0.0,20000,3911571.0,4407629.0,100000.0,0,0,0,0,1,0,0,0,1,1
25,0.3576923077,183947.84,520000,6642107.0,12794141.0,100000.0,0,0,0,0,1,0,1,0,0,3
69,0.5117554369,365200.78,410000,64597334.0,13381474.0,250000.0,0,0,0,0,0,0,0,0,1,1
9,0.0,0.0,80000,1230902.0,2387739.0,70000.0,1,0,0,0,0,0,0,1,0,2
0,0.0,0.0,70000,30000.0,1994920.0,30000.0,0,0,0,0,0,1,0,0,0,0
3,0.4818380404,22692.0,80000,7839347.0,2095901.0,600000.0,0,0,0,1,0,0,0,1,0,2
3,0.3633890603,0.0,30000,962201.0,2576271.0,100000.0,0,0,0,0,0,0,1,0,0,3
8,0.3599412425,0.0,80000,0.0,1272469.0,93700.0,0,1,0,0,1,1,0,0,0,0
4,0.4235857776,5075.2,70000,9796870.0,18790402.0,300000.0,1,0,0,0,0,0,0,0,1,1
14,0.4888255182,0.0,10000,0.0,396973.0,40000.0,0,1,0,1,0,0,1,0,0,3
32,0.3352492347,168788.91,310000,18557856.0,57671884.0,400000.0,0,0,0,0,0,0,0,1,0,2
43,0.4631735213,0.0,50000,9024583.0,8083627.0,1210000.0,0,0,0,0,1,0,0,0,1,1
0,0.543123639,4637.5,20000,245869610.0,398173284.0,18860000.0,1,0,0,0,0,0,0,0,1,1
30,0.0,0.0,35000,464583.0,1758366.0,60000.0,0,1,0,0,1,1,0,0,0,0
3,0.4380159577,10644.89,25000,0.0,866601.0,150000.0,0,1,0,0,1,1,0,0,0,0
4,0.5318418029,0.0,20000,0.0,3676117.0,99800.0,0,0,0,0,1,0,0,1,0,2
0,0.6285771776,2640.0,50000,6048887.0,11593568.0,80000.0,0,0,0,0,0,0,1,0,0,3
129,0.5146846344,0.0,40000,361987.0,0.0,60000.0,0,0,1,0,1,1,0,0,0,0
7,0.0,0.0,30000,2345646.0,3160445.0,300000.0,0,1,0,0,1,0,1,0,0,3
16,0.0,0.0,300000,2076423000.0,3369173000.0,330742994.0,0,1,0,1,0,0,0,1,0,2
20,0.508141981,3670.63,73000,30601262.0,25439833.0,500000.0,0,0,0,0,0,0,0,0,1,1
0,0.0,0.0,300000,3347692.0,2154784.0,300000.0,1,0,0,0,0,0,0,0,1,1
153,0.0,0.0,80000,2694521.0,4020326.0,50000.0,0,0,0,0,1,0,1,0,0,3
3,0.5290686267,0.0,50000,235057.0,185399.0,100000.0,0,0,0,0,0,1,0,0,0,0
0,0.0,0.0,100000,5558304.0,14340598.0,120000.0,1,0,0,0,0,0,0,1,0,2
56,0.0,0.0,60000,4107344.0,2818111.0,70000.0,0,0,0,0,0,0,1,0,0,3
93,0.5236921561,1333.95,30000,573210.0,868743.0,70000.0,0,0,0,0,0,0,0,0,1,1
4,0.5074172904,0.0,720000,17587509.0,16341768.0,95400.0,0,1,0,0,1,0,0,0,1,1
0,0.3417766787,0.0,20000,321418.0,724781.0,100000.0,0,1,0,0,1,1,0,0,0,0
8,0.3669966763,5963.75,20000,1367742.0,3701610.0,200000.0,0,0,0,0,1,0,0,1,0,2
3,0.2435228153,38187.99,49999,4450179.0,1678310.0,3000000.0,0,0,0,0,1,1,0,0,0,0
779,0.3460075111,0.0,50000,4419499.0,5565059.0,400000.0,0,0,0,0,0,0,0,1,0,2
275,0.4106034347,46295.35,85000,7061426.0,16309058.0,1379949.0,0,0,0,0,0,0,0,1,0,2
39,0.2604190589,0.0,90000,17136163.0,9768826.0,400000.0,0,1,0,0,1,0,0,0,1,1
11,0.2655254663,6400.0,70000,445510.0,596949.0,70000.0,0,1,0,0,0,0,0,0,1,1
0,0.6271330762,0.0,30000,5058982.0,0.0,1550000.0,0,0,0,0,0,0,0,1,0,2
0,0.6206004051,69120.0,500000,31404475.0,29901248.0,200000.0,1,0,0,0,0,0,1,0,0,3
3,0.4609162101,0.0,100000,0.0,9863219.0,50000.0,0,0,0,0,0,1,0,0,0,0
26,0.0,0.0,100000,0.0,19127986.0,600000.0,0,1,0,0,1,1,0,0,0,0
0,0.5671064697,8566.4,30000,31127406.0,26181878.0,600000.0,1,0,0,0,0,0,0,0,1,1
3,0.4477745004,0.0,5000,0.0,1110843.0,84500.0,0,1,0,0,0,1,0,0,0,0
4,0.3010234455,0.0,30000,607150.0,743155.0,10000.0,0,0,0,0,0,0,1,0,0,3
3,0.0,0.0,250000,35069468.0,84443992.0,300000.0,1,0,0,1,0,0,0,0,1,1
0,0.368679644,0.0,50000,667091.0,1240577.0,220000.0,0,0,0,0,1,0,0,0,1,1
2,0.4491461276,0.0,100000,6088814.0,2892907.0,0.0,0,0,0,0,1,0,0,1,0,2
24,0.1403135969,0.0,70000,45161595.0,28422500.0,1000000.0,0,0,0,0,0,0,0,0,1,1
5,0.4438676667,30000.0,93000,373500000.0,84754000.0,0.0,0,0,0,0,0,0,0,0,1,1
26,0.6078199829,0.0,40000,3348030.0,0.0,110000.0,0,1,0,0,1,0,0,1,0,2
0,0.4420691703,3302.2,30000,2911321.0,2303880.0,88000.0,0,0,0,0,1,1,0,0,0,0
0,0.0,0.0,150000,1502727.0,3544599.0,5000.0,0,0,0,0,1,0,0,0,1,1
87,0.0,0.0,75000,1373136.0,4277737.0,100000.0,0,1,0,0,1,0,1,0,0,3
0,0.4902405333,0.0,900000,1497894.0,2994222.0,50000.0,1,0,0,0,0,0,0,1,0,2
46,0.4345164253,3655.0,30000,0.0,559066.0,0.0,0,1,0,1,0,0,0,0,1,1
0,0.0,0.0,100000,386929000.0,671575000.0,290536290.0,0,0,0,1,0,0,1,0,0,3
